internal id	Hallmark	Pathway(s)	Source(s)	Genes
1161	Sustaining Proliferative Signaling	PDGF Signaling Pathway	reactome	AKT2, ARAF, ARHGAP1, ARHGAP10, ARHGAP12, ARHGAP15, ARHGAP26, ARHGAP4, ARHGAP42, ARHGAP5, ARHGAP6, ARHGAP8, ARHGAP9, BRAF, CHUK, EHF, ELF1, ELF2, ELF3, ELF4, ELF5, ELK1, ELK4, ERF, ERG, ETS1, ETV3, FEV, FLI1, FOS, GABPA, GSK3A, GSK3B, HRAS, IKBKB, ITPR1, ITPR2, ITPR3, JAK1, JAK2, JAK3, JUN, MAP2K1, MAP2K2, MAPK1, MAPK15, MAPK3, MAPK6, MAPK7, MAPK8, MAPKAPK2, MKNK1, MKNK2, MYC, MYCBP, NCK1, NCK2, NRAS, OPHN1, PDGFA, PDGFB, PDGFRA, PDGFRB, PDPK1, PIK3C3, PIK3CA, PIK3CB, PIK3CD, PIK3CG, PIK3R1, PIK3R2, PIK3R3, PIK3R5, PKN2, PLCG1, PLCG2, PRKCA, RAB11B, RAF1, RASA1, RASA2, RASA4, RASA4B, RERG, RPS6KA1, RPS6KA2, RPS6KA3, RPS6KA4, RPS6KA5, RPS6KA6, RPS6KB1, RPS6KB2, RPS6KC1, SHC1, SHC2, SHC3, SOS1, SOS2, SPDEF, SPDYE7P, SRF, SRGAP1, SRGAP3, STAT1, STAT2, STAT3, STAT4, STAT5A, STAT5B, STAT6, VAV1, VAV2, VAV3
1165	Sustaining Proliferative Signaling	PDGFR Beta Signaling Pathway	pid	ABI1, ABL1, ACTA2, ACTN4, ACTR2, ACTR3, ARAP1, ARHGAP35, ARHGDIA, ARPC1B, ARPC2, ARPC3, ARPC4, ARPC5, BAIAP2, BCAR1, BLK, BRAF, BRK1, CBL, CRK, CSK, CTTN, CYFIP2, DNM2, DOCK4, DOK1, EIF2AK2, ELK1, EPS8, FGR, FOS, FYN, GAB1, GRB10, GRB2, HCK, HRAS, IQGAP1, ITGAV, ITGB3, JAK2, JUN, JUND, KRAS, KSR1, LCK, LRP1, LYN, MAP2K1, MAP2K2, MAP2K4, MAP2K7, MAPK1, MAPK10, MAPK3, MAPK8, MAPK9, MLLT4, MYC, MYOCD, NCK1, NCK2, NCKAP1, NRAS, PAG1, PAK1, PDGFB, PDGFRB, PIK3CA, PIK3CB, PIK3CG, PIK3R1, PIK3R6, PIN1, PLA2G4A, PLCG1, PPP2CA, PPP2R1A, PPP2R2B, PRKCA, PRKCD, PRKCE, PTEN, PTPN1, PTPN11, PTPN2, PTPRJ, RAB4A, RAB5A, RAC1, RAF1, RAP1A, RAP1B, RAPGEF1, RASA1, RHOA, RPS6KA3, S1PR1, SFN, SHC1, SIPA1, SLA, SLC9A3R1, SLC9A3R2, SOS1, SPHK1, SRC, SRF, STAT1, STAT3, STAT5A, STAT5B, TAGLN, USP6NL, VAV2, WASF2, WASL, YES1, YWHAB, YWHAE, YWHAG, YWHAH, YWHAQ, YWHAZ
1232	Sustaining Proliferative Signaling	Phosphorylation Of Proteins Involved In G1/S Transition By Active Cyclin E:Cdk2 Complexes	inoh	CCNE1, CCNE2, CDK2, RB1
1172	Sustaining Proliferative Signaling	PI3 Kinase Pathway	reactome	AKT1, AKT2, AKT3, CASP9, FOXO1, FOXO3, FOXO4, GNA11, GNA14, GNAQ, GNB1, GNB2, GNB3, GNB4, GNB5, GNGT1, GNGT2, GSK3B, INPPL1, INSR, IRS1, JAK2, NOS3, NRAS, PDPK1, PIK3CA, PIK3CB, PIK3R1, PIK3R2, PIK3R3, PIK3R5, PTEN, PTGER1, RPS6KB1, RPS6KB2, SOS1, SOS2, YWHAZ
1173	Sustaining Proliferative Signaling	PI3K Cascade	reactome	FGF1, FGF10, FGF16, FGF17, FGF18, FGF19, FGF2, FGF20, FGF22, FGF23, FGF3, FGF4, FGF5, FGF6, FGF7, FGF8, FGF9, FGFR1, FGFR2, FGFR3, FGFR4, FRS2, GAB1, GRB2, IRS1, IRS2, KL, KLB, PIK3C3, PIK3CA, PIK3CB, PIK3R1, PIK3R2, PIK3R4, PTPN11, TLR9
1174	Sustaining Proliferative Signaling	PI3K Events In ERBB2 Signaling	reactome	BTC, EGF, EGFR, ERBB2, ERBB3, ERBB4, EREG, GAB1, GRB2, HBEGF, NRG1, NRG2, NRG3, NRG4, PIK3CA, PIK3R1
1175	Sustaining Proliferative Signaling	PI3K Events In ERBB4 Signaling	reactome	BTC, ERBB4, EREG, HBEGF, NRG1, NRG2, NRG3, NRG4, PIK3CA, PIK3R1
1176	Sustaining Proliferative Signaling	PI3K/AKT Activation	reactome	IRS1, IRS2, NGF, NTRK1, PIK3CA, PIK3CB, PIK3R1, PIK3R2, RHOA
1177	Sustaining Proliferative Signaling	PI5P, PP2A And IER3 Regulate PI3K/AKT Signaling	panther	AKT1, BTC, CD19, CD28, CD80, CD86, EGF, EGFR, ERBB2, ERBB3, ERBB4, EREG, FGF1, FGF10, FGF16, FGF17, FGF18, FGF19, FGF2, FGF20, FGF22, FGF23, FGF3, FGF4, FGF5, FGF6, FGF7, FGF8, FGF9, FGFR1, FGFR2, FGFR3, FGFR4, FRS2, FYN, GAB1, GRB2, HBEGF, IER3, INS, INSR, IRS1, IRS2, KIT, KITLG, KL, KLB, LCK, MAPK1, MAPK3, NRG1, NRG2, NRG3, NRG4, PDGFA, PDGFB, PDGFRA, PDGFRB, PIK3CA, PIK3CB, PIK3CD, PIK3R1, PIK3R2, PIK3R3, PIP4K2A, PIP4K2B, PIP4K2C, PIP5K1A, PIP5K1B, PIP5K1C, PPP2CA, PPP2CB, PPP2R1A, PPP2R1B, PPP2R5A, PPP2R5B, PPP2R5C, PPP2R5D, PPP2R5E, PTPN11, SRC, TRAT1, VAV1
1178	Sustaining Proliferative Signaling	PIP3 Activates AKT Signaling	reactome	AGO1, AGO2, AGO3, AGO4, AKT1, AKT2, AKT3, BTC, CD19, CD28, CD80, CD86, EGF, EGFR, ERBB2, ERBB3, ERBB4, EREG, FGF1, FGF10, FGF16, FGF17, FGF18, FGF19, FGF2, FGF20, FGF22, FGF23, FGF3, FGF4, FGF5, FGF6, FGF7, FGF8, FGF9, FGFR1, FGFR2, FGFR3, FGFR4, FRS2, FYN, GAB1, GRB2, HBEGF, IRS1, IRS2, KIT, KITLG, KL, KLB, LCK, MAPKAP1, MLST8, MOV10, MTOR, NRG1, NRG2, NRG3, NRG4, PDGFA, PDGFB, PDGFRA, PDGFRB, PDPK1, PIK3CA, PIK3CB, PIK3CD, PIK3R1, PIK3R2, PIK3R3, PRR5, PTEN, PTPN11, RICTOR, THEM4, TNRC6A, TNRC6B, TNRC6C, TRAT1, TRIB3, VAV1
1247	Sustaining Proliferative Signaling	Polo Like Kinase Signaling Events In The Cell Cycle	reactome	PLK1, PLK2, PLK3, PLK4
1263	Sustaining Proliferative Signaling	Prolactin	pid	AGAP2, AKT1, BRAF, BTRC, CAMLG, CBL, CCND1, CD3E, CENPJ, CISH, CREBBP, CTSD, DNM2, EGFR, EIF4EBP1, ELK1, EP300, ERBB2, ERBB4, ESR1, FBXW11, FLNA, FOS, FOXO3, FYN, GAB2, GRB2, GSK3B, HLTF, HMGN2, IGBP1, IRS1, IRS2, ITGB1, JAK1, JAK2, JUN, KHDRBS1, LYN, MAP2K1, MAP2K2, MAPK1, MAPK14, MAPK3, MAPK4, MAPK7, MAPK8, MAPK9, MTOR, MYB, MYC, NCK1, NEK3, NFKB1, NFKBIA, NFKBIB, PAK1, PIAS3, PIK3CA, PIK3CB, PIK3CG, PIK3R1, PIK3R2, PLAU, PPIA, PPIB, PPP2CA, PRKCB, PRKCD, PRL, PRLR, PTK2, PTPN1, PTPN11, PTPN6, PXN, RAF1, RB1, RELA, RPS6, RPS6KA2, RPS6KB1, SERPINE1, SH2B1, SHC1, SIRPA, SLC12A2, SOCS1, SOCS2, SOCS3, SOCS7, SOS1, SRC, STAT1, STAT3, STAT5A, STAT5B, TEC, THRB, TYK2, VAV1, VAV2, YWHAG, YWHAZ, ZAP70
1197	Sustaining Proliferative Signaling	PTK6 Activates STAT3	reactome	PTK6, SOCS3, STAP2, STAT3
1199	Sustaining Proliferative Signaling	PTK6 Regulates Cell Cycle	reactome	CCND1, CCNE1, CDK2, CDK4, CDKN1B, PTK6
1201	Sustaining Proliferative Signaling	PTK6 Regulates RHO GTPases, RAS GTPase And MAP Kinases	reactome	ARHGAP35, BCAR1, CRK, DAB2IP, DOCK1, ELMO1, ELMO2, HRAS, KRAS, NF1, NRAS, PTK6, PXN, RAC1, RASA1, RASA2, RASA3, RASA4, RASAL1, RASAL2, RASAL3, RHOA, SPRED1, SPRED2, SPRED3, SYNGAP1
1285	Sustaining Proliferative Signaling	RAF Activation	reactome	ARAF, BRAF, BRAP, HRAS, JAK2, KRAS, KSR1, MAP2K1, MAP2K2, MAP3K11, MARK3, NRAS, PHB, PPP2CA, PPP2CB, PPP2R1A, PPP2R1B, PPP2R5A, PPP2R5B, PPP2R5C, PPP2R5D, PPP2R5E, RAF1, SRC, YWHAB
1317	Sustaining Proliferative Signaling	Raf Activation Signaling (through Grb2 And Sos) ( B Cell Receptor Signaling ) // Raf Activation Signaling (through Grb2 And Sos) ( CD4 T Cell Receptor Signaling (ERK Cascade) ) // Raf Activation Signaling (through Grb2 And Sos) ( CD4 T Cell Receptor Signaling ) // Raf Activation Signaling (through Grb2 And Sos) ( JAK STAT Pathway And Regulation Pathway Diagram )	reactome	ARAF, BRAF, GRB2, HRAS, KRAS, NRAS, RAF1, SOS1, SOS2
1318	Sustaining Proliferative Signaling	Raf Activation Signaling (through RasGRP) ( CD4 T Cell Receptor Signaling (ERK Cascade) ) // Raf Activation Signaling (through RasGRP) ( CD4 T Cell Receptor Signaling )	reactome	ARAF, BRAF, HRAS, KRAS, NRAS, PRKCQ, RAF1, RASGRP1
1286	Sustaining Proliferative Signaling	RAF Independent MAPK1/3 Activation	reactome	DUSP1, DUSP10, DUSP16, DUSP2, DUSP4, DUSP5, DUSP6, DUSP7, DUSP8, DUSP9, MAPK1, MAPK3, PEA15
1287	Sustaining Proliferative Signaling	RAF/MAP Kinase Cascade	reactome	ACTN2, AKAP9, ANGPT1, ARTN, BTC, CALM1, CALM2, CALM3, CAMK2A, CAMK2B, CAMK2D, CAMK2G, CSF2, CSF2RA, CSF2RB, DLG4, EGF, EGFR, ERBB2, ERBB3, ERBB4, EREG, FGF1, FGF10, FGF16, FGF17, FGF18, FGF19, FGF2, FGF20, FGF22, FGF23, FGF3, FGF4, FGF5, FGF6, FGF7, FGF8, FGF9, FGFR1, FGFR2, FGFR3, FGFR4, FRS2, FRS3, FYN, GDNF, GFRA1, GFRA2, GFRA3, GFRA4, GRB2, GRIN1, GRIN2A, GRIN2B, GRIN2C, GRIN2D, HBEGF, HRAS, IL2, IL2RA, IL2RB, IL2RG, IL3, IL3RA, IL5, IL5RA, IRS1, IRS2, JAK1, JAK2, JAK3, KIT, KITLG, KL, KLB, KRAS, LAT, MAPK1, MAPK3, NCAM1, NEFL, NRAS, NRG1, NRG2, NRG3, NRG4, NRTN, PDGFA, PDGFB, PDGFRA, PDGFRB, PEA15, PSPN, PTK2, PTPRA, RAPGEF2, RASGEF1A, RASGRF1, RASGRF2, RASGRP1, RASGRP3, RASGRP4, RET, SHC1, SHC2, SHC3, SOS1, SPTA1, SPTAN1, SPTB, SPTBN1, SPTBN2, SPTBN4, SPTBN5, TEK
1323	Sustaining Proliferative Signaling	Ras Pathway	pid	AKT1, AKT3, ARAF, ATF2, BRAF, CDC42, ELK1, ETS1, EXOC2, GSK3A, GSK3B, HRAS, JUN, KRAS, MAP2K1, MAP2K2, MAP2K3, MAP2K4, MAP2K6, MAP2K7, MAP3K1, MAP3K4, MAP3K7CL, MAPK1, MAPK10, MAPK11, MAPK12, MAPK13, MAPK14, MAPK3, MAPK8, MAPK9, MAPKAPK2, MAPKAPK3, NRAS, PAK1, PAK2, PAK3, PDPK1, PIK3C3, PIK3CA, PIK3CB, PIK3CD, PIK3CG, PLD1, PLD2, RAC1, RAC2, RAC3, RAF1, RALA, RALB, RALGDS, RGL1, RGL2, RHOA, RHOB, RHOC, RPS6KA1, RPS6KA2, RPS6KA3, RPS6KA6, SHC1, SOS1, SOS2, SRF, STAT1, STAT3, TIAM1
1324	Sustaining Proliferative Signaling	Ras Signaling In The CD4+ TCR Pathway	inoh	BRAF, ELK1, FOS, HRAS, KRAS, MAP2K1, MAP3K8, MAPK1, MAPK3, NRAS, PRKCA, PRKCB, PTPN7, RAF1
1350	Sustaining Proliferative Signaling	Regulation Of RAS By GAPs	reactome	CUL3, DAB2IP, HRAS, KBTBD7, KRAS, NF1, NRAS, PSMA1, PSMA2, PSMA3, PSMA4, PSMA5, PSMA6, PSMA7, PSMA8, PSMB1, PSMB10, PSMB11, PSMB2, PSMB3, PSMB4, PSMB5, PSMB6, PSMB7, PSMB8, PSMB9, PSMC1, PSMC2, PSMC3, PSMC4, PSMC5, PSMC6, PSMD1, PSMD10, PSMD11, PSMD12, PSMD13, PSMD14, PSMD2, PSMD3, PSMD4, PSMD5, PSMD6, PSMD7, PSMD8, PSMD9, PSME1, PSME2, PSME3, PSME4, PSMF1, RASA1, RASA2, RASA3, RASA4, RASAL1, RASAL2, RASAL3, RBX1, RPS27A, SPRED1, SPRED2, SPRED3, SYNGAP1, UBA52, UBB, UBC
1456	Sustaining Proliferative Signaling	Signaling By EGFR	reactome	ADAM10, ADAM12, ADAM17, EGF, EGFR, LRIG1, SRC
1458	Sustaining Proliferative Signaling	Signaling By FGFR1 In Disease	reactome	BAG4, BCR, CNTRL, CPSF6, CUX1, ERLIN2, FGF1, FGF17, FGF2, FGF20, FGF23, FGF4, FGF5, FGF6, FGF8, FGF9, FGFR1, FGFR1OP, FGFR1OP2, FRS2, GAB1, GRB2, HRAS, KRAS, LRRFIP1, MYO18A, NRAS, PIK3CA, PIK3R1, PLCG1, SOS1, TRIM24, ZMYM2
1459	Sustaining Proliferative Signaling	Signaling By FGFR2 IIIa TM	reactome	FGF1, FGF2, FGFR2, GTF2F1, GTF2F2, NCBP1, NCBP2, POLR2A, POLR2B, POLR2C, POLR2D, POLR2E, POLR2F, POLR2G, POLR2H, POLR2I, POLR2J, POLR2K, POLR2L
1460	Sustaining Proliferative Signaling	Signaling By FGFR2 In Disease	reactome	FGF1, FGF10, FGF16, FGF17, FGF18, FGF2, FGF20, FGF22, FGF23, FGF3, FGF4, FGF5, FGF6, FGF7, FGF8, FGF9, FGFR2, FRS2, GAB1, GRB2, HRAS, KRAS, NRAS, PIK3CA, PIK3R1, PLCG1, SOS1
1461	Sustaining Proliferative Signaling	Signaling By FGFR3 Fusions In Cancer	reactome	FGFR3, FRS2, GAB1, GRB2, HRAS, KRAS, NRAS, PIK3CA, PIK3R1, SOS1
1462	Sustaining Proliferative Signaling	Signaling By FGFR3 Point Mutants In Cancer	reactome	FGF1, FGF16, FGF17, FGF18, FGF2, FGF20, FGF23, FGF4, FGF5, FGF8, FGF9, FGFR3, FRS2, GAB1, GRB2, HRAS, KRAS, NRAS, PIK3CA, PIK3R1, PLCG1, SOS1
1463	Sustaining Proliferative Signaling	Signaling By FGFR4 In Disease	reactome	FGFR4, FRS2, GAB1, GRB2, HRAS, KRAS, NRAS, PIK3CA, PIK3R1, PLCG1, SOS1
1485	Sustaining Proliferative Signaling	Signaling Events Mediated By Focal Adhesion Kinase	pid	ACTA1, ACTN1, ACTN2, ACTN3, ACTN4, ARHGAP26, ARHGAP35, ARHGEF11, ARHGEF28, ARHGEF7, ASAP1, BCAR1, BMX, BRAF, CAPN2, CCND1, CRK, DOCK1, ELMO1, ETS1, FYN, GIT2, GRB2, GRB7, ITGA5, ITGAV, ITGB1, ITGB5, JUN, KLF8, LCK, MAP2K1, MAP2K4, MAPK1, MAPK8, MAPK8IP3, MAPK9, MYLK, NCK1, NCK2, PAK1, PIK3CA, PIK3R1, PLCG1, PTK2, PTPN21, PXN, RAC1, RAF1, RAP1A, RAP1B, RAPGEF1, RASA1, RHOA, ROCK2, RRAS, SH3GL1, SOS1, SRC, TLN1, VCL, WASL, YES1
1484	Sustaining Proliferative Signaling	Signaling Events Mediated By VEGFR1 And VEGFR2	pid	AKAP1, AKT1, ARF1, BRAF, CALM1, CALM2, CALM3, CAMKK2, CAV1, CBL, CDC42, CDH5, CTNNA1, CTNNB1, DAG1, DNM2, FBXW11, FES, FLT1, FYN, GAB1, GRB10, GRB2, HGS, HSP90AA1, HSP90AB1, IQGAP1, ITGAV, ITGB3, KDR, MAP2K1, MAP2K2, MAP2K3, MAP2K6, MAPK1, MAPK11, MAPK14, MAPK3, MAPKAPK2, MYOF, NCK1, NCK2, NEDD4, NOS3, PAK2, PDPK1, PIK3CA, PIK3R1, PLCG1, PRKACA, PRKCA, PRKCB, PRKCD, PTK2, PTK2B, PTPN11, PTPN2, PTPN6, PTPRJ, PXN, RAF1, RHOA, ROCK1, SH2D2A, SHB, SRC, VCL, VEGFA, VTN
1496	Sustaining Proliferative Signaling	Signalling To P38 Via RIT And RIN	pid	BRAF, NGF, NTRK1, RIT1, RIT2
1510	Sustaining Proliferative Signaling	Spry Regulation Of FGF Signaling	smpdb	BRAF, CBL, GRB2, MAPK1, MAPK3, MKNK1, PPP2CA, PPP2CB, PPP2R1A, PTPN11, RPS27A, SPRY2, SRC, UBA52, UBB, UBC
1568	Sustaining Proliferative Signaling	T Cell Activation	reactome	AKT1, AKT2, AKT3, ARAF, BRAF, CD247, CD28, CD3D, CD3E, CD3G, CD80, CD86, CDC42, CHUK, CSK, FOS, HRAS, IKBKB, ITPR1, JUN, LAT, LCK, LCP2, MAP2K1, MAP2K2, MAP3K1, MAPK1, MAPK3, MAPK8, MAPK9, NCK1, NCK2, NFKBIA, NRAS, PAK1, PAK2, PAK3, PIK3C3, PIK3CA, PIK3CB, PIK3CD, PIK3CG, PIK3R1, PIK3R2, PIK3R3, PLCG1, PPP3CA, PPP3CB, PPP3CC, PRKCQ, PTPRC, RAC1, RAF1, SOS1, SOS2, VAV1, VAV2, VAV3, WAS, ZAP70
1629	Sustaining Proliferative Signaling	Tetrachlorodibenzodioxin Inhibits The Reaction [[CD40L Protein Co Treated With IL2 Protein, IL6 Protein, IL10 Protein] Affects The Activity Of MAPK1 Protein]	reactome	IL10, IL2, IL6, MAPK1
1630	Sustaining Proliferative Signaling	Tetrachlorodibenzodioxin Inhibits The Reaction [[CD40L Protein Co Treated With IL2 Protein, IL6 Protein, IL10 Protein] Affects The Activity Of MAPK3 Protein]	smpdb	IL10, IL2, IL6, MAPK3
1601	Sustaining Proliferative Signaling	TP53 Regulates Transcription Of Additional Cell Cycle Genes Whose Exact Role In The P53 Pathway Remain Uncertain	wikipathways	BTG2, CDC25C, CENPJ, CNOT1, CNOT10, CNOT11, CNOT2, CNOT3, CNOT4, CNOT6, CNOT6L, CNOT7, CNOT8, NPM1, PLAGL1, PLK2, PLK3, RGCC, RQCD1, TNKS1BP1, TP53
1599	Sustaining Proliferative Signaling	TP53 Regulates Transcription Of Genes Involved In G1 Cell Cycle Arrest	netpath	ARID3A, CCNA1, CCNA2, CCNE1, CCNE2, CDK2, CDKN1A, CDKN1B, E2F1, E2F7, PCBP4, TP53, ZNF385A
1600	Sustaining Proliferative Signaling	TP53 Regulates Transcription Of Genes Involved In G2 Cell Cycle Arrest	reactome	AURKA, BAX, CARM1, CCNB1, CDC25C, CDK1, E2F4, EP300, GADD45A, PCNA, PRMT1, RBL1, RBL2, SFN, TFDP1, TFDP2, TP53, ZNF385A
1666	Sustaining Proliferative Signaling	Transcriptional Activation Of Cell Cycle Inhibitor P21	reactome	CDKN1A, PCBP4, TP53, ZNF385A
1686	Sustaining Proliferative Signaling	Trk Receptor Signaling Mediated By PI3K And PLC Gamma	reactome	AGAP2, AKT1, BAD, CAMK2A, CAMK4, CCND1, CREB1, EGR1, EPB41L1, FOXO3, GAB1, GRB2, GSK3B, HRAS, KRAS, NGF, NRAS, NTRK1, PDPK1, PIK3CA, PIK3R1, PLCG1, PRKCD, SFN, SHC1, SOS1, SRC, STAT5A, TRPC3, TRPV1, YWHAB, YWHAE, YWHAG, YWHAH, YWHAQ, YWHAZ
1687	Sustaining Proliferative Signaling	Trk Receptor Signaling Mediated By The MAPK Pathway	reactome	BRAF, CDK5, CDK5R1, CREB1, EGR1, EHD4, ELK1, FOS, HRAS, KRAS, MAP2K1, MAP2K3, MAP2K5, MAP2K6, MAP3K2, MAPK1, MAPK14, MAPK3, MAPK7, MAPKAPK2, MEF2C, NRAS, NTF3, PRKCD, RAF1, RAP1A, RAP1B, RIT1, RIT2, RPS6KA1, RPS6KA5, RUSC1, SRF, TRPV1
1717	Sustaining Proliferative Signaling	Validated Targets Of C MYC Transcriptional Activation	panther	ACTL6A, BAX, BCAT1, BIRC5, BMI1, CAD, CCNB1, CCND2, CDC25A, CDCA7, CDK4, CREBBP, DDX18, DKC1, E2F3, EIF2S1, EIF4A1, EIF4E, EIF4G1, ENO1, EP300, FOSL1, GAPDH, GPAM, HMGA1, HSP90AA1, HSPA4, HSPD1, HUWE1, ID2, IREB2, KAT2A, KAT5, KIR3DL1, LDHA, LIN28B, MAX, MINA, MMP9, MTA1, MTDH, MYC, MYCT1, NBN, NCL, NDUFAF2, NME1, NME2, NPM1, ODC1, PDCD10, PEG10, PFKM, PIM1, PMAIP1, POLR3D, PRDX3, PTMA, RCC1, RPL11, RUVBL1, RUVBL2, SERPINI1, SHMT1, SLC2A1, SMAD3, SMAD4, SNAI1, SUPT3H, SUPT7L, TAF10, TAF12, TAF4B, TAF9, TERT, TFRC, TK1, TP53, TRRAP, UBTF
1718	Sustaining Proliferative Signaling	Validated Targets Of C MYC Transcriptional Repression	reactome	ALDH9A1, BCL2, BRCA1, CCL5, CCND1, CDKN1A, CDKN1B, CDKN2B, CEBPA, CEBPD, CFLAR, CLU, COL1A2, CREB1, CSDE1, DDIT3, DKK1, DNMT3A, DNTT, EP300, ERBB2, FOXO3, FTH1, GADD45A, GFI1, GTF2H2, HDAC1, HDAC3, HMGCS2, ID2, IRF8, ITGA6, ITGB1, ITGB4, LGALS1, MAX, MXD4, MYC, NDRG1, NDRG2, NFYA, NFYB, NFYC, PDGFRB, PPP2R4, RBL1, S100A7, SFRP1, SFXN3, SLC11A1, SMAD2, SMAD3, SMAD4, SP1, SPI1, TBP, TJP2, TMEFF2, TMEM126A, TSC2, WNT5A, ZBTB17, ZFP36L1
1709	Sustaining Proliferative Signaling	VEGF Signaling Pathway	reactome	AKT1, ARAF, BRAF, CASP9, ETS1, HIF1A, HRAS, HSPB1, KDR, MAP2K1, MAP2K2, MAPK1, MAPK14, MAPK3, MAPKAPK2, MAPKAPK3, NOS3, NRAS, PIK3C2A, PIK3C2B, PIK3C3, PIK3CA, PIK3CB, PIK3CD, PIK3CG, PIK3R1, PIK3R2, PIK3R3, PLA2G4A, PLCG1, PLCG2, PRKCA, PRKCB, PRKCD, PRKCE, PRKCG, PRKCH, PRKCI, PRKCQ, PRKCZ, PRKD1, PRKD2, PRKD3, PTK2, PXN, RAC1, RAC2, RAC3, RAF1, SH2D2A, SHC2, SPHK1, SPHK2, VEGFA
50	Evading Growth Suppressors	APC Cdc20 Mediated Degradation Of Nek2A // APC/C:Cdc20 Mediated Degradation Of Mitotic Proteins // Inactivation Of APC/C Via Direct Inhibition Of The APC/C Complex	reactome	ANAPC1, ANAPC10, ANAPC11, ANAPC15, ANAPC16, ANAPC2, ANAPC4, ANAPC5, ANAPC7, BUB1B, BUB3, CDC16, CDC20, CDC23, CDC26, CDC27, MAD2L1, NEK2, RPS27A, UBA52, UBB, UBC, UBE2C, UBE2D1, UBE2E1
49	Evading Growth Suppressors	APC Truncation Mutants Have Impaired AXIN Binding // AXIN Missense Mutants Destabilize The Destruction Complex // Beta Catenin Phosphorylation Cascade // Misspliced GSK3beta Mutants Stabilize Beta Catenin // S33 Mutants Of Beta Catenin Aren't Phosphorylated // S37 Mutants Of Beta Catenin Aren't Phosphorylated // S45 Mutants Of Beta Catenin Aren't Phosphorylated // T41 Mutants Of Beta Catenin Aren't Phosphorylated // Truncations Of AMER1 Destabilize The Destruction Complex	reactome	AMER1, APC, AXIN1, CSNK1A1, CTNNB1, FRAT1, FRAT2, GSK3B, PPP2CA, PPP2CB, PPP2R1A, PPP2R1B, PPP2R5A, PPP2R5B, PPP2R5C, PPP2R5D, PPP2R5E
51	Evading Growth Suppressors	APC/C:Cdc20 Mediated Degradation Of Cyclin B	reactome	ANAPC1, ANAPC10, ANAPC11, ANAPC15, ANAPC16, ANAPC2, ANAPC4, ANAPC5, ANAPC7, CCNB1, CDC16, CDC20, CDC23, CDC26, CDC27, CDK1, RPS27A, UBA52, UBB, UBC, UBE2C, UBE2D1, UBE2E1
52	Evading Growth Suppressors	APC/C:Cdc20 Mediated Degradation Of Securin // APC/C:Cdh1 Mediated Degradation Of Cdc20 And Other APC/C:Cdh1 Targeted Proteins In Late Mitosis/early G1 // Autodegradation Of Cdh1 By Cdh1:APC/C // Cdc20:Phospho APC/C Mediated Degradation Of Cyclin A	reactome	ANAPC1, ANAPC10, ANAPC11, ANAPC15, ANAPC16, ANAPC2, ANAPC4, ANAPC5, ANAPC7, AURKA, AURKB, BUB1B, BUB3, CCNA1, CCNA2, CDC16, CDC20, CDC23, CDC26, CDC27, CDK1, FZR1, MAD2L1, PLK1, PSMA1, PSMA2, PSMA3, PSMA4, PSMA5, PSMA6, PSMA7, PSMA8, PSMB1, PSMB10, PSMB11, PSMB2, PSMB3, PSMB4, PSMB5, PSMB6, PSMB7, PSMB8, PSMB9, PSMC1, PSMC2, PSMC3, PSMC4, PSMC5, PSMC6, PSMD1, PSMD10, PSMD11, PSMD12, PSMD13, PSMD14, PSMD2, PSMD3, PSMD4, PSMD5, PSMD6, PSMD7, PSMD8, PSMD9, PSME1, PSME2, PSME3, PSME4, PSMF1, PTTG1, RPS27A, SKP2, UBA52, UBB, UBC, UBE2C, UBE2D1, UBE2E1
